# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.725089e-09	3.761441e+02	1.648419e-05	8.240368e-06	8.243818e-06
0.01          	-1.166598e-07	2.075516e+01	-7.059536e-06	-3.646428e-06	-3.413108e-06
0.015         	-6.473398e-08	2.778137e+01	7.437146e-07	3.071233e-07	4.365913e-07
0.02          	-8.674843e-08	2.085169e+01	-1.057224e-08	-9.203455e-08	8.146231e-08
0.025         	-8.140301e-08	1.812132e+01	4.454419e-07	1.413179e-07	3.041239e-07
0.03          	-7.374601e-08	1.619120e+01	4.434139e-07	1.479609e-07	2.954529e-07
0.035         	-6.661566e-08	1.483612e+01	3.752879e-07	1.210283e-07	2.542596e-07
0.04          	2.072389e-08	1.380096e+01	4.639637e-07	2.527058e-07	2.112580e-07
0.045         	6.860899e-08	1.297710e+01	4.631530e-07	3.001855e-07	1.629675e-07
0.05          	9.422370e-08	1.230002e+01	4.657626e-07	3.271050e-07	1.386576e-07
0.055         	1.069257e-07	1.173075e+01	4.879745e-07	3.509129e-07	1.370616e-07
0.06          	1.119834e-07	1.124352e+01	4.974290e-07	3.606980e-07	1.367311e-07
0.065         	1.124830e-07	1.082047e+01	4.974937e-07	3.612299e-07	1.362639e-07
0.07          	1.102662e-07	1.044875e+01	4.747681e-07	3.476503e-07	1.271178e-07
0.075         	1.556576e-07	1.011880e+01	4.552871e-07	3.833011e-07	7.198600e-08
0.08          	1.798053e-07	9.823389e+00	5.647084e-07	4.621595e-07	1.025489e-07
0.085         	1.915444e-07	9.556929e+00	6.178842e-07	5.004864e-07	1.173977e-07
0.09          	1.958448e-07	9.315004e+00	6.411217e-07	5.164057e-07	1.247160e-07
0.095         	1.956038e-07	9.094118e+00	6.591813e-07	5.251944e-07	1.339869e-07
0.1           	3.132334e-07	8.891390e+00	5.594801e-07	5.929734e-07	-3.349333e-08
0.105         	3.840700e-07	8.704541e+00	6.828759e-07	7.255079e-07	-4.263198e-08
0.11          	4.259752e-07	8.531608e+00	7.436169e-07	7.977837e-07	-5.416677e-08
0.115         	4.493467e-07	8.370971e+00	7.765310e-07	8.376122e-07	-6.108116e-08
0.12          	4.605151e-07	8.221273e+00	7.978679e-07	8.594491e-07	-6.158120e-08
0.125         	4.634981e-07	8.081341e+00	8.144954e-07	8.707458e-07	-5.625039e-08
0.13          	4.609350e-07	7.950188e+00	8.160253e-07	8.689476e-07	-5.292230e-08
0.135         	4.546078e-07	7.826952e+00	8.154212e-07	8.623184e-07	-4.689719e-08
0.14          	4.457455e-07	7.710884e+00	7.989860e-07	8.452385e-07	-4.625256e-08
0.145         	4.352072e-07	7.601334e+00	7.974627e-07	8.339386e-07	-3.647586e-08
0.15          	4.236059e-07	7.497730e+00	7.801483e-07	8.136800e-07	-3.353175e-08
0.155         	4.113781e-07	7.399576e+00	7.678732e-07	7.953147e-07	-2.744147e-08
0.16          	3.988327e-07	7.306407e+00	7.551462e-07	7.764058e-07	-2.125956e-08
0.165         	3.861916e-07	7.217841e+00	7.414018e-07	7.568925e-07	-1.549070e-08
0.17          	3.736175e-07	7.133524e+00	7.288976e-07	7.380663e-07	-9.168652e-09
0.175         	3.612234e-07	7.053140e+00	7.145190e-07	7.184828e-07	-3.963867e-09
0.18          	3.490888e-07	6.976381e+00	6.827226e-07	6.904501e-07	-7.727535e-09
0.185         	3.372680e-07	6.903022e+00	6.778538e-07	6.761949e-07	1.658886e-09
0.19          	3.257956e-07	6.832814e+00	6.634565e-07	6.575238e-07	5.932641e-09
0.195         	3.146954e-07	6.765547e+00	6.501195e-07	6.397552e-07	1.036434e-08
0.2           	3.039795e-07	6.701032e+00	6.309194e-07	6.194392e-07	1.148019e-08
0.205         	2.936528e-07	6.639089e+00	6.132076e-07	6.002566e-07	1.295097e-08
0.21          	3.349738e-07	6.579554e+00	4.031858e-07	5.365667e-07	-1.333810e-07
0.215         	3.601137e-07	6.522293e+00	5.599810e-07	6.401042e-07	-8.012317e-08
0.22          	3.751906e-07	6.467198e+00	6.431858e-07	6.967835e-07	-5.359767e-08
0.225         	3.836997e-07	6.414089e+00	6.785975e-07	7.229984e-07	-4.440093e-08
0.23          	4.924752e-07	6.362867e+00	5.225551e-07	7.537528e-07	-2.311977e-07
0.235         	5.673517e-07	6.313467e+00	6.947112e-07	9.147073e-07	-2.199961e-07
0.24          	6.195417e-07	6.265760e+00	7.979778e-07	1.018531e-06	-2.205528e-07
0.245         	6.558810e-07	6.219662e+00	8.353381e-07	1.073550e-06	-2.382119e-07
0.25          	6.807602e-07	6.175082e+00	9.087384e-07	1.135129e-06	-2.263910e-07
0.255         	6.971454e-07	6.131953e+00	8.998600e-07	1.147075e-06	-2.472154e-07
0.26          	7.071262e-07	6.090171e+00	9.409859e-07	1.177619e-06	-2.366333e-07
0.265         	7.121973e-07	6.049711e+00	8.687157e-07	1.146555e-06	-2.778394e-07
0.27          	7.134826e-07	6.010498e+00	9.171756e-07	1.172070e-06	-2.548948e-07
0.275         	7.118279e-07	5.972465e+00	9.319827e-07	1.177819e-06	-2.458366e-07
0.28          	7.078788e-07	5.935560e+00	9.037548e-07	1.159756e-06	-2.560014e-07
0.285         	7.021418e-07	5.899731e+00	9.239156e-07	1.164100e-06	-2.401841e-07
0.29          	6.950081e-07	5.864925e+00	9.306861e-07	1.160351e-06	-2.296651e-07
0.295         	6.867913e-07	5.831138e+00	8.869247e-07	1.130254e-06	-2.433290e-07
0.3           	6.777474e-07	5.798262e+00	8.911974e-07	1.123346e-06	-2.321487e-07
0.305         	6.680718e-07	5.766289e+00	8.502085e-07	1.093176e-06	-2.429676e-07
0.31          	6.579266e-07	5.735179e+00	8.466686e-07	1.081261e-06	-2.345923e-07
0.315         	6.474421e-07	5.704899e+00	8.538534e-07	1.074369e-06	-2.205153e-07
0.32          	6.367244e-07	5.675412e+00	8.362960e-07	1.054872e-06	-2.185764e-07
0.325         	6.258594e-07	5.646692e+00	8.226057e-07	1.037162e-06	-2.145566e-07
0.33          	6.149196e-07	5.618691e+00	8.187877e-07	1.024313e-06	-2.055258e-07
0.335         	6.039605e-07	5.591404e+00	8.341868e-07	1.021054e-06	-1.868671e-07
0.34          	5.930269e-07	5.564796e+00	8.364206e-07	1.011237e-06	-1.748166e-07
0.345         	5.821571e-07	5.538841e+00	8.379091e-07	1.001112e-06	-1.632026e-07
0.35          	5.713822e-07	5.513487e+00	8.184397e-07	9.806020e-07	-1.621623e-07
0.355         	5.607260e-07	5.488743e+00	8.146493e-07	9.680506e-07	-1.534013e-07
0.36          	5.502123e-07	5.464589e+00	8.329860e-07	9.667053e-07	-1.337193e-07
0.365         	5.398477e-07	5.441005e+00	8.166510e-07	9.481732e-07	-1.315222e-07
0.37          	5.296513e-07	5.417952e+00	8.049544e-07	9.321285e-07	-1.271741e-07
0.375         	5.196314e-07	5.395420e+00	7.970925e-07	9.181776e-07	-1.210851e-07
0.38          	5.097913e-07	5.373379e+00	7.891484e-07	9.043655e-07	-1.152171e-07
0.385         	5.001394e-07	5.351858e+00	8.119269e-07	9.061029e-07	-9.417594e-08
0.39          	4.906798e-07	5.330811e+00	7.865660e-07	8.839627e-07	-9.739679e-08
0.395         	4.814123e-07	5.310193e+00	7.818729e-07	8.723488e-07	-9.047589e-08
0.4           	4.723409e-07	5.290016e+00	7.798663e-07	8.622741e-07	-8.240776e-08
0.405         	4.634649e-07	5.270268e+00	7.374306e-07	8.321802e-07	-9.474953e-08
0.41          	4.547863e-07	5.250934e+00	7.329124e-07	8.212425e-07	-8.833011e-08
0.415         	4.462991e-07	5.231998e+00	7.274201e-07	8.100092e-07	-8.258907e-08
0.42          	4.380014e-07	5.213446e+00	7.201495e-07	7.980761e-07	-7.792664e-08
0.425         	4.298911e-07	5.195272e+00	6.931304e-07	7.764563e-07	-8.332583e-08
0.43          	4.219668e-07	5.177460e+00	6.137621e-07	7.288479e-07	-1.150857e-07
0.435         	4.142312e-07	5.160000e+00	6.145298e-07	7.214961e-07	-1.069663e-07
0.44          	4.066723e-07	5.142882e+00	6.171541e-07	7.152493e-07	-9.809526e-08
0.445         	3.992869e-07	5.126096e+00	6.062130e-07	7.023934e-07	-9.618037e-08
0.45          	3.920714e-07	5.109634e+00	6.288511e-07	7.064969e-07	-7.764579e-08
0.455         	3.850242e-07	5.093490e+00	6.534808e-07	7.117646e-07	-5.828384e-08
0.46          	3.781381e-07	5.077631e+00	6.280888e-07	6.921826e-07	-6.409373e-08
0.465         	3.714112e-07	5.062093e+00	6.776727e-07	7.102475e-07	-3.257485e-08
0.47          	3.648383e-07	5.046800e+00	6.258578e-07	6.777673e-07	-5.190943e-08
0.475         	3.584185e-07	5.031803e+00	6.639081e-07	6.903725e-07	-2.646442e-08
0.48          	3.521458e-07	5.017070e+00	6.667894e-07	6.855406e-07	-1.875113e-08
0.485         	3.460179e-07	5.002618e+00	6.990676e-07	6.955518e-07	3.515885e-09
0.49          	3.400303e-07	4.988418e+00	6.998997e-07	6.899802e-07	9.919560e-09
0.495         	3.341802e-07	4.974471e+00	7.112980e-07	6.898292e-07	2.146877e-08
0.5           	3.991970e-07	4.960738e+00	4.848918e-07	6.416429e-07	-1.567511e-07
0.505         	4.482253e-07	4.947276e+00	6.309750e-07	7.637127e-07	-1.327378e-07
0.51          	4.859668e-07	4.934037e+00	7.070821e-07	8.395079e-07	-1.324258e-07
0.515         	5.153926e-07	4.921016e+00	7.744599e-07	9.026226e-07	-1.281626e-07
0.52          	5.384732e-07	4.908249e+00	8.766111e-07	9.767788e-07	-1.001677e-07
0.525         	5.566026e-07	4.895674e+00	8.471517e-07	9.801784e-07	-1.330268e-07
0.53          	6.077297e-07	4.883286e+00	6.508696e-07	9.331645e-07	-2.822949e-07
0.535         	6.455146e-07	4.871113e+00	8.365254e-07	1.063777e-06	-2.272519e-07
0.54          	6.741610e-07	4.859137e+00	9.362832e-07	1.142303e-06	-2.060194e-07
0.545         	6.961875e-07	4.847361e+00	1.045290e-06	1.218833e-06	-1.735423e-07
0.55          	7.132073e-07	4.835762e+00	1.088199e-06	1.257307e-06	-1.691077e-07
0.555         	7.263076e-07	4.824352e+00	1.161919e-06	1.307267e-06	-1.453481e-07
0.56          	7.362636e-07	4.813121e+00	1.220847e-06	1.346687e-06	-1.258404e-07
0.565         	7.436595e-07	4.802064e+00	1.418782e-06	1.453050e-06	-3.426862e-08
0.57          	7.489306e-07	4.791178e+00	1.256895e-06	1.377378e-06	-1.204830e-07
0.575         	7.524426e-07	4.780460e+00	1.224272e-06	1.364579e-06	-1.403064e-07
0.58          	7.544757e-07	4.769901e+00	1.184808e-06	1.346880e-06	-1.620718e-07
0.585         	7.552606e-07	4.759504e+00	1.180295e-06	1.345408e-06	-1.651132e-07
0.59          	7.549829e-07	4.749266e+00	1.135963e-06	1.322964e-06	-1.870015e-07
0.595         	7.538005e-07	4.739166e+00	1.248834e-06	1.378217e-06	-1.293836e-07
0.6           	7.518373e-07	4.729226e+00	1.067687e-06	1.285681e-06	-2.179938e-07
0.605         	7.492133e-07	4.719431e+00	1.093734e-06	1.296080e-06	-2.023463e-07
0.61          	7.460170e-07	4.709777e+00	1.101497e-06	1.296766e-06	-1.952684e-07
0.615         	7.423289e-07	4.700262e+00	1.075869e-06	1.280263e-06	-2.043945e-07
0.62          	7.382161e-07	4.690887e+00	1.100940e-06	1.288686e-06	-1.877463e-07
0.625         	7.337456e-07	4.681644e+00	1.077644e-06	1.272568e-06	-1.949234e-07
0.63          	7.289597e-07	4.672537e+00	1.479952e-06	1.468936e-06	1.101622e-08
