# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.745582e+01 8.143005e-07 -2.984657e-19) (1.351389e+00 9.908759e-09 3.236798e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.840398e-18 5.599551e-19 -7.963906e-15) (-6.740789e-19 7.897123e-20 -8.624647e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.952867e-01 -3.491842e-07 2.719298e-20) (8.424714e-01 -3.792644e-09 -2.173123e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.237316e-20 5.458187e-21 -1.191180e-15) (-8.854081e-21 5.766096e-20 -5.832987e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((7.476052e-01 3.934143e-08 -1.620749e-21) (6.414632e-01 -2.155706e-09 -1.264159e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.300101e-20 2.431637e-20 4.535135e-15) (-3.163499e-20 4.391936e-20 -3.236704e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((5.184193e-01 -3.504722e-10 1.106254e-21) (5.241653e-01 -1.781396e-10 -1.267023e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.762463e-20 1.707015e-20 -3.487933e-15) (-2.229655e-20 3.609149e-20 -4.337418e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((4.531295e-01 2.149447e-08 1.957550e-21) (4.529365e-01 7.776208e-10 -1.235238e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.046646e-20 1.496756e-20 -1.515614e-15) (-1.945923e-20 3.125852e-20 -4.070149e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((4.045682e-01 2.064100e-08 2.812269e-21) (4.049916e-01 1.529697e-09 -1.215375e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.519334e-20 1.338607e-20 -1.272623e-15) (-1.736639e-20 2.798176e-20 -3.687299e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((3.712449e-01 1.686664e-08 3.405925e-21) (3.705612e-01 1.897762e-09 -1.194834e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.160096e-20 1.229494e-20 -8.633376e-16) (-1.591672e-20 2.561668e-20 -3.330782e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((3.456981e-01 1.945198e-08 3.820368e-21) (3.443501e-01 3.746210e-09 -1.174775e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.885382e-20 1.145950e-20 -1.439764e-15) (-1.480571e-20 2.381089e-20 1.036196e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((3.253239e-01 1.812894e-08 4.112080e-21) (3.235313e-01 5.028715e-09 -1.155400e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.666205e-20 1.079483e-20 -1.293062e-15) (-1.391923e-20 2.237425e-20 3.430451e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((3.085461e-01 1.755297e-08 4.325164e-21) (3.064551e-01 5.735154e-09 -1.137299e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.485524e-20 1.024872e-20 -1.166725e-15) (-1.318923e-20 2.119484e-20 4.711186e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((2.944322e-01 1.827197e-08 4.487066e-21) (2.921051e-01 6.126756e-09 -1.120495e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.333303e-20 9.789956e-21 -1.000118e-15) (-1.257503e-20 2.020328e-20 5.346284e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((2.823583e-01 1.855926e-08 4.614885e-21) (2.798176e-01 6.312194e-09 -1.104956e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.202912e-20 9.397777e-21 -8.858614e-16) (-1.204950e-20 1.935397e-20 5.599173e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((2.718859e-01 1.851248e-08 4.719572e-21) (2.691376e-01 6.362207e-09 -1.090645e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.089702e-20 9.057605e-21 -8.710167e-16) (-1.159351e-20 1.861565e-20 5.624151e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((2.626966e-01 1.741196e-08 4.806712e-21) (2.597411e-01 6.326448e-09 -1.077305e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.990253e-20 8.759040e-21 -7.919168e-16) (-1.119325e-20 1.796601e-20 5.513313e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((2.545505e-01 1.286085e-08 4.880992e-21) (2.513894e-01 9.903503e-09 -1.064929e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.902002e-20 8.494250e-21 -8.739035e-16) (-1.083824e-20 1.738855e-20 7.782879e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((2.472674e-01 1.545543e-08 4.945007e-21) (2.439020e-01 1.277999e-08 -1.053380e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.823052e-20 8.257386e-21 -8.684013e-16) (-1.052069e-20 1.687083e-20 8.990265e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((2.407069e-01 1.642741e-08 5.000428e-21) (2.371396e-01 1.446680e-08 -1.042517e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.751818e-20 8.043929e-21 -8.682245e-16) (-1.023446e-20 1.640320e-20 9.577219e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((2.347578e-01 1.658873e-08 5.049314e-21) (2.309924e-01 1.546736e-08 -1.032334e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.687185e-20 7.850257e-21 -8.951531e-16) (-9.974777e-21 1.597812e-20 9.792242e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((2.293332e-01 1.696429e-08 5.092028e-21) (2.253727e-01 1.599477e-08 -1.022675e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.628166e-20 7.673597e-21 -8.529842e-16) (-9.737840e-21 1.558949e-20 9.780190e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((2.243599e-01 9.277686e-09 5.130054e-21) (2.202096e-01 1.869632e-08 -1.013567e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.574027e-20 7.511543e-21 -1.189234e-15) (-9.520498e-21 1.523244e-20 1.566167e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((2.197825e-01 1.323813e-08 5.163703e-21) (2.154445e-01 2.090567e-08 -1.004907e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.524141e-20 7.362336e-21 -1.233093e-15) (-9.320340e-21 1.490289e-20 1.920350e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
