# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.095988e+01 -2.055849e-03 -2.533283e-19) (1.476064e-01 -3.700917e-06 4.290181e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.228323e-18 -7.047674e-18 -8.397295e-13) (-2.089639e-20 -1.954115e-20 7.464412e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((5.758216e-01 1.664177e-03 -1.445243e-21) (1.370726e-01 -7.475532e-07 9.889847e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.021226e-20 -1.313764e-19 6.784962e-13) (-1.045360e-21 -2.850504e-20 6.741288e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((2.464014e-01 -6.693104e-05 -3.800016e-21) (1.319811e-01 -8.048908e-07 1.340160e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.900025e-21 -5.498348e-20 8.395156e-15) (-8.874784e-22 -2.756275e-20 6.358647e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.529092e-01 -1.621864e-05 -3.716350e-21) (1.281819e-01 -8.241701e-07 1.331091e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.295494e-21 -3.346037e-20 -1.161152e-14) (-7.955924e-22 -2.680027e-20 6.252634e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((1.294749e-01 2.116800e-06 -3.574486e-21) (1.248867e-01 -8.080175e-07 1.315223e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.364356e-21 -2.811330e-20 -1.255770e-14) (-7.471182e-22 -2.611733e-20 6.130772e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.208458e-01 1.046953e-05 -3.435084e-21) (1.219013e-01 -7.763351e-07 1.300749e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.987161e-21 -2.617626e-20 -1.169029e-14) (-7.116530e-22 -2.549399e-20 6.001943e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((1.167053e-01 9.592909e-06 -3.304563e-21) (1.191404e-01 -7.464945e-07 1.288911e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.800227e-21 -2.526884e-20 -1.150864e-14) (-6.819861e-22 -2.491613e-20 5.872721e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.140538e-01 1.097410e-05 -3.185889e-21) (1.165561e-01 -7.145953e-07 1.279867e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.664173e-21 -2.469980e-20 -1.035345e-14) (-6.557250e-22 -2.437486e-20 5.744163e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((1.118999e-01 9.875895e-06 -3.076593e-21) (1.141175e-01 -6.851957e-07 1.273399e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.565574e-21 -2.424167e-20 -9.916836e-15) (-6.317924e-22 -2.386396e-20 5.617438e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.098904e-01 9.687648e-06 -2.977666e-21) (1.118030e-01 -6.568521e-07 1.269228e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.465925e-21 -2.381440e-20 -9.667981e-15) (-6.096643e-22 -2.337897e-20 5.492837e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
