# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.617234e-05	3.153736e+02	-5.510882e-02	-2.753824e-02	-2.757058e-02
0.01          	1.344816e-05	7.127160e+00	5.100718e-02	2.551704e-02	2.549014e-02
0.015         	1.170785e-05	7.279302e+00	-2.156331e-03	-1.066458e-03	-1.089873e-03
0.02          	1.060472e-05	5.851485e+00	-9.938276e-04	-4.863091e-04	-5.075185e-04
0.025         	9.598548e-06	5.412888e+00	-5.079613e-04	-2.443821e-04	-2.635792e-04
0.03          	8.688560e-06	5.081672e+00	-2.496397e-04	-1.161313e-04	-1.335084e-04
0.035         	7.869382e-06	4.793469e+00	-1.109211e-04	-4.759115e-05	-6.332991e-05
0.04          	7.132614e-06	4.534274e+00	2.942851e-05	2.184687e-05	7.581638e-06
0.045         	6.471218e-06	4.299401e+00	1.080963e-04	6.051938e-05	4.757694e-05
0.05          	5.878788e-06	4.086224e+00	1.508384e-04	8.129797e-05	6.954039e-05
0.055         	5.348610e-06	3.892550e+00	1.831064e-04	9.690179e-05	8.620457e-05
0.06          	4.874427e-06	3.716508e+00	2.055436e-04	1.076462e-04	9.789737e-05
0.065         	4.450480e-06	3.556432e+00	2.287902e-04	1.188456e-04	1.099446e-04
0.07          	4.071687e-06	3.410617e+00	2.383766e-04	1.232600e-04	1.151166e-04
0.075         	3.733467e-06	3.277686e+00	2.440417e-04	1.257543e-04	1.182874e-04
0.08          	3.431663e-06	3.156451e+00	2.398088e-04	1.233361e-04	1.164727e-04
0.085         	3.162301e-06	3.045568e+00	2.364557e-04	1.213901e-04	1.150655e-04
0.09          	2.921942e-06	2.944051e+00	2.311316e-04	1.184877e-04	1.126439e-04
0.095         	2.707329e-06	2.850893e+00	2.317919e-04	1.186033e-04	1.131886e-04
0.1           	2.515844e-06	2.765292e+00	2.175915e-04	1.113116e-04	1.062799e-04
0.105         	2.344995e-06	2.686593e+00	2.099413e-04	1.073156e-04	1.026257e-04
0.11          	2.192445e-06	2.613992e+00	2.057044e-04	1.050446e-04	1.006598e-04
0.115         	2.056155e-06	2.546854e+00	2.005662e-04	1.023393e-04	9.822695e-05
0.12          	1.934436e-06	2.484745e+00	1.950309e-04	9.944989e-05	9.558101e-05
0.125         	1.825752e-06	2.427197e+00	1.843893e-04	9.402042e-05	9.036892e-05
0.13          	1.728601e-06	2.373814e+00	1.761046e-04	8.978089e-05	8.632369e-05
0.135         	1.641811e-06	2.324176e+00	1.680024e-04	8.564299e-05	8.235937e-05
0.14          	1.564300e-06	2.277920e+00	1.625182e-04	8.282341e-05	7.969481e-05
0.145         	1.494982e-06	2.234752e+00	1.577491e-04	8.036951e-05	7.737955e-05
0.15          	1.432955e-06	2.194411e+00	1.525004e-04	7.768318e-05	7.481727e-05
0.155         	1.377543e-06	2.156764e+00	1.436354e-04	7.319526e-05	7.044018e-05
0.16          	1.327988e-06	2.121504e+00	1.400935e-04	7.137472e-05	6.871874e-05
0.165         	1.283718e-06	2.088440e+00	1.335600e-04	6.806372e-05	6.549628e-05
0.17          	1.244188e-06	2.057389e+00	1.280947e-04	6.529154e-05	6.280316e-05
0.175         	1.208894e-06	2.028175e+00	1.218831e-04	6.215044e-05	5.973265e-05
0.18          	1.177448e-06	2.000653e+00	1.122879e-04	5.732141e-05	5.496651e-05
0.185         	1.149340e-06	1.974885e+00	1.124655e-04	5.738211e-05	5.508343e-05
0.19          	1.124285e-06	1.950483e+00	1.066745e-04	5.446154e-05	5.221297e-05
0.195         	1.102019e-06	1.927536e+00	1.018604e-04	5.203222e-05	4.982818e-05
